Date,Light Intensity
"November 27, 2021 at 08:38PM",0
"November 27, 2021 at 09:08PM",0
"November 27, 2021 at 09:38PM",0
"November 27, 2021 at 10:08PM",0
"November 27, 2021 at 10:38PM",0
"November 27, 2021 at 11:08PM",0
"November 27, 2021 at 11:38PM",0
"November 28, 2021 at 12:08AM",0
"November 28, 2021 at 12:37AM",0
"November 28, 2021 at 01:07AM",0
"November 28, 2021 at 01:37AM",0
"November 28, 2021 at 02:07AM",0
"November 28, 2021 at 02:37AM",0
"November 28, 2021 at 03:07AM",0
"November 28, 2021 at 03:37AM",0
"November 28, 2021 at 04:07AM",0
"November 28, 2021 at 04:37AM",0
"November 28, 2021 at 05:07AM",0
"November 28, 2021 at 05:36AM",0
"November 28, 2021 at 06:06AM",0
"November 28, 2021 at 06:36AM",0
"November 28, 2021 at 07:06AM",0
"November 28, 2021 at 07:36AM",1131
"November 28, 2021 at 08:06AM",2526
"November 28, 2021 at 08:36AM",3216
"November 28, 2021 at 09:06AM",3371
"November 28, 2021 at 09:36AM",3442
"November 28, 2021 at 10:06AM",3488
"November 28, 2021 at 11:06AM",3522
"November 28, 2021 at 11:36AM",3536
"November 28, 2021 at 12:05PM",3549
"November 28, 2021 at 12:35PM",3551
"November 28, 2021 at 01:05PM",3547
"November 28, 2021 at 01:35PM",3537
"November 28, 2021 at 02:05PM",3506
"November 28, 2021 at 02:35PM",3293
"November 28, 2021 at 03:05PM",3122
"November 28, 2021 at 03:35PM",2322
"November 28, 2021 at 04:05PM",458
"November 28, 2021 at 04:35PM",0
"November 28, 2021 at 05:04PM",0
"November 28, 2021 at 05:34PM",0
"November 28, 2021 at 06:04PM",0
"November 28, 2021 at 06:34PM",0
"November 28, 2021 at 07:04PM",0
"November 28, 2021 at 07:34PM",0
"November 28, 2021 at 08:04PM",0
"November 28, 2021 at 08:34PM",0
"November 28, 2021 at 09:04PM",0
"November 28, 2021 at 09:34PM",0
"November 28, 2021 at 10:03PM",0
"November 28, 2021 at 10:33PM",0
"November 28, 2021 at 11:03PM",0
"November 28, 2021 at 11:33PM",0
